Site,19Regions,11Regions,19reg
THW,(blank),(blank),blank
HEP,(blank),AKL,blank
ALB,NZ.1_1,AKL,nz01
BHL,NZ.1_1,AKL,nz01
BOB,NZ.1_1,AKL,nz01
DRY,NZ.1_1,AKL,nz01
GLN,NZ.1_1,AKL,nz01
HEN,NZ.1_1,AKL,nz01
HOB,NZ.1_1,AKL,nz01
HPI,NZ.1_1,AKL,nz01
MNG,NZ.1_1,AKL,nz01
OTA,NZ.1_1,AKL,nz01
PAK,NZ.1_1,AKL,nz01
PEN,NZ.1_1,AKL,nz01
ROS,NZ.1_1,AKL,nz01
SVL,NZ.1_1,AKL,nz01
SWN,NZ.1_1,AKL,nz01
TAK,NZ.1_1,AKL,nz01
TAT,NZ.1_1,AKL,nz01
WIR,NZ.1_1,AKL,nz01
WRD,NZ.1_1,AKL,nz01
WRT,NZ.1_1,AKL,nz01
WEL,NZ.1_1,NIS,nz01
EDG,NZ.2_1,BOP,nz02
KAW,NZ.2_1,BOP,nz02
KMO,NZ.2_1,BOP,nz02
MAT,NZ.2_1,BOP,nz02
MTM,NZ.2_1,BOP,nz02
OKE,NZ.2_1,BOP,nz02
OWH,NZ.2_1,BOP,nz02
PIE,NZ.2_1,BOP,nz02
TGA,NZ.2_1,BOP,nz02
TMI,NZ.2_1,BOP,nz02
WAI,NZ.2_1,BOP,nz02
ROT,NZ.2_1,WTO,nz02
TRK,NZ.2_1,WTO,nz02
ABY,NZ.3_1,CAN,nz03
ADD,NZ.3_1,CAN,nz03
APS,NZ.3_1,CAN,nz03
ASB,NZ.3_1,CAN,nz03
ASY,NZ.3_1,CAN,nz03
AVI,NZ.3_1,CAN,nz03
BDT,NZ.3_1,CAN,nz03
BEN,NZ.3_1,CAN,nz03
BEN-DC,NZ.3_1,CAN,nz03
BGR,NZ.3_1,CAN,nz03
BKD,NZ.3_1,CAN,nz03
BPC,NZ.3_1,CAN,nz03
BPD,NZ.3_1,CAN,nz03
BPT,NZ.3_1,CAN,nz03
BRY,NZ.3_1,CAN,nz03
CHH,NZ.3_1,CAN,nz03
CLH,NZ.3_1,CAN,nz03
COL,NZ.3_1,CAN,nz03
GNY,NZ.3_1,CAN,nz03
HOR,NZ.3_1,CAN,nz03
ISL,NZ.3_1,CAN,nz03
KAI,NZ.3_1,CAN,nz03
KBT,NZ.3_1,CAN,nz03
KBY,NZ.3_1,CAN,nz03
LIV,NZ.3_1,CAN,nz03
NWD,NZ.3_1,CAN,nz03
OAM,NZ.3_1,CAN,nz03
OHA,NZ.3_1,CAN,nz03
OHB,NZ.3_1,CAN,nz03
OHC,NZ.3_1,CAN,nz03
OPI,NZ.3_1,CAN,nz03
SBK,NZ.3_1,CAN,nz03
STU,NZ.3_1,CAN,nz03
TIM,NZ.3_1,CAN,nz03
TKA,NZ.3_1,CAN,nz03
TKB,NZ.3_1,CAN,nz03
TMK,NZ.3_1,CAN,nz03
TWZ,NZ.3_1,CAN,nz03
WPR,NZ.3_1,CAN,nz03
WTK,NZ.3_1,CAN,nz03
WTT,NZ.3_1,CAN,nz03
CUL,NZ.3_1,NEL,nz03
CUT,NZ.3_1,NEL,nz03
WPW,NZ.6_1,CEN,nz06
FHL,NZ.6_1,HBY,nz06
HRP,NZ.6_1,HBY,nz06
RDF,NZ.6_1,HBY,nz06
TUI,NZ.6_1,HBY,nz06
WHI,NZ.6_1,HBY,nz06
WRA,NZ.6_1,HBY,nz06
WTU,NZ.6_1,HBY,nz06
BPE,NZ.7_1,CEN,nz07
BRK,NZ.7_1,CEN,nz07
DVK,NZ.7_1,CEN,nz07
LTN,NZ.7_1,CEN,nz07
MGM,NZ.7_1,CEN,nz07
MHO,NZ.7_1,CEN,nz07
MTN,NZ.7_1,CEN,nz07
MTR,NZ.7_1,CEN,nz07
OKN,NZ.7_1,CEN,nz07
TNG,NZ.7_1,CEN,nz07
TWC,NZ.7_1,CEN,nz07
TWT,NZ.7_1,CEN,nz07
WDV,NZ.7_1,CEN,nz07
WGN,NZ.7_1,CEN,nz07
RTR,NZ.7_1,TRN,nz07
NPK,NZ.7_1,WTO,nz07
ONG,NZ.7_1,WTO,nz07
TMN,NZ.7_1,WTO,nz07
FTB,NZ.8_1,(blank),nz08
ARG,NZ.8_1,NEL,nz08
BLN,NZ.8_1,NEL,nz08
STK,NZ.9_1,NEL,nz09
BRB,NZ.11_1,NIS,nz11
KOE,NZ.11_1,NIS,nz11
KTA,NZ.11_1,NIS,nz11
MDN,NZ.11_1,NIS,nz11
MPE,NZ.11_1,NIS,nz11
MTO,NZ.11_1,NIS,nz11
NSY,NZ.12_1,CAN,nz12
BAL,NZ.12_1,OTG,nz12
BWK,NZ.12_1,OTG,nz12
CML,NZ.12_1,OTG,nz12
CYD,NZ.12_1,OTG,nz12
FKN,NZ.12_1,OTG,nz12
HWB,NZ.12_1,OTG,nz12
ROX,NZ.12_1,OTG,nz12
SDN,NZ.12_1,OTG,nz12
TMH,NZ.12_1,OTG,nz12
TWI,NZ.14_1,(blank),nz14
BDE,NZ.14_1,OTG,nz14
EDN,NZ.14_1,OTG,nz14
GOR,NZ.14_1,OTG,nz14
GOT,NZ.14_1,OTG,nz14
INV,NZ.14_1,OTG,nz14
MAN,NZ.14_1,OTG,nz14
NMA,NZ.14_1,OTG,nz15
CST,NZ.15_1,TRN,nz15
HUI,NZ.15_1,TRN,nz15
HWA,NZ.15_1,TRN,nz15
JRD,NZ.15_1,TRN,nz15
JRT,NZ.15_1,TRN,nz15
KPA,NZ.15_1,TRN,nz15
MKT,NZ.15_1,TRN,nz15
MNI,NZ.15_1,TRN,nz15
OPK,NZ.15_1,TRN,nz15
SFD,NZ.15_1,TRN,nz15
WVY,NZ.15_1,TRN,nz15
KIK,NZ.16_1,NEL,nz16
MCH,NZ.16_1,NEL,nz16
HLY,NZ.17_1,AKL,nz17
KPU,NZ.17_1,AKL,nz17
MER,NZ.17_1,AKL,nz17
OHW,NZ.17_1,AKL,nz17
WES,NZ.17_1,AKL,nz17
WKO,NZ.17_1,AKL,nz17
ARA,NZ.17_1,WTO,nz17
ARI,NZ.17_1,WTO,nz17
ATI,NZ.17_1,WTO,nz17
CBG,NZ.17_1,WTO,nz17
HAM,NZ.17_1,WTO,nz17
HIN,NZ.17_1,WTO,nz17
HTI,NZ.17_1,WTO,nz17
HTU,NZ.17_1,WTO,nz17
KIN,NZ.17_1,WTO,nz17
KPO,NZ.17_1,WTO,nz17
LFD,NZ.17_1,WTO,nz17
LFT,NZ.17_1,WTO,nz17
MTI,NZ.17_1,WTO,nz17
MVE,NZ.17_1,WTO,nz17
NAP,NZ.17_1,WTO,nz17
OHK,NZ.17_1,WTO,nz17
OKI,NZ.17_1,WTO,nz17
PAO,NZ.17_1,WTO,nz17
PPI,NZ.17_1,WTO,nz17
RPO,NZ.17_1,WTO,nz17
RTO,NZ.17_1,WTO,nz17
TAB,NZ.17_1,WTO,nz17
THI,NZ.17_1,WTO,nz17
TKU,NZ.17_1,WTO,nz17
TMU,NZ.17_1,WTO,nz17
TWH,NZ.17_1,WTO,nz17
WHN,NZ.17_1,WTO,nz17
WHU,NZ.17_1,WTO,nz17
WKM,NZ.17_1,WTO,nz17
WPA,NZ.17_1,WTO,nz17
WRK,NZ.17_1,WTO,nz17
OTB,NZ.18_1,(blank),nz18
CPK,NZ.18_1,WEL,nz18
GFD,NZ.18_1,WEL,nz18
GYT,NZ.18_1,WEL,nz18
HAY,NZ.18_1,WEL,nz18
HAY-DC,NZ.18_1,WEL,nz18
JFD,NZ.18_1,WEL,nz18
KWA,NZ.18_1,WEL,nz18
MHT,NZ.18_1,WEL,nz18
MLG,NZ.18_1,WEL,nz18
MST,NZ.18_1,WEL,nz18
PNI,NZ.18_1,WEL,nz18
PNT,NZ.18_1,WEL,nz18
PRM,NZ.18_1,WEL,nz18
PRT,NZ.18_1,WEL,nz18
TKR,NZ.18_1,WEL,nz18
UHT,NZ.18_1,WEL,nz18
WIL,NZ.18_1,WEL,nz18
WWD,NZ.18_1,WEL,nz18
ATU,NZ.19_1,CAN,nz19
DOB,NZ.19_1,CAN,nz19
GYM,NZ.19_1,CAN,nz19
HKK,NZ.19_1,CAN,nz19
KHA,NZ.19_1,CAN,nz19
KUM,NZ.19_1,CAN,nz19
OTI,NZ.19_1,CAN,nz19
TMR,NZ.19_1,CAN,nz19
IGH,NZ.19_1,NEL,nz19
ORO,NZ.19_1,NEL,nz19
RFC,NZ.19_1,NEL,nz19
RFN,NZ.19_1,NEL,nz19
ROB,NZ.19_1,NEL,nz19
WMG,NZ.19_1,NEL,nz19
